nID;sID;sName;sNote
2416878;SuperAdmin;Супер-Адміністратор;Всі права та управління правами і зміна усіх даних, у т.ч. масова (з протоколюванням)
2416879;Admin;Адміністратор;Всі права на запис крім прав, без масової зміни Персонала та екземплярів Процесів
2416880;AdminSecurity;Адміністратор безпеки (аудит безпеки);Всі права на перегляд_
2416881;AdminStaff;Адміністратор користувачів;_Права Кураторів користувачів, їх ролей та прав_
2416882;AdminCorrector;Адміністратор корегування;Права Кураторів документів та завдань_
2416883;Manager;Керівник;Права підлеглих
2416884;ManagerTop;Вищий Керівник;Права інших керівныків_
2416885;EmployeeActive;Активний працівник;Активний працівник (не звільнений)
2455189;EmployeePassive;Звільнений працівник;Звільнений працівник_
2459620;EmployeeBlocked;Заблокований працівник;Заблокований працівник_
2459631;ExternalAuditor;Зовнішний аудітор;Зовнішний аудітор_
2459632;EmployeeBPgroup1;Група прав доступу до бізнес-процесів 1;Права доступу до бізнес-процесів 1
2459633;EmployeeBPgroup2;Група прав доступу до бізнес-процесів 2;Права доступу до бізнес-процесів 2
2459634;EmployeeBPgroup3;Група прав доступу до бізнес-процесів 3;Права доступу до бізнес-процесів 3
2459635;EmployeeBPgroup4;Група прав доступу до бізнес-процесів 4;Права доступу до бізнес-процесів 4
2459636;EmployeeBPgroup5;Група прав доступу до бізнес-процесів 5;Права доступу до бізнес-процесів 5
2459637;EmployeeOrdergroup6;Група прав доступу до звітів 6;Права доступу до звітів 6
2459638;EmployeeOrdergroup7;Група прав доступу до звітів 7;Права доступу до звітів 7
