nID;nID_RightItem;nID_RightGroup
1001;2410484;2416878
1002;2410541;2416878
1003;2410542;2416878
1004;2459654;2416878
1005;2459646;2416878
1006;2461259;2416878
1007;2500040;2416878
1008;2500070;2416878
1009;2500100;2416878
1010;2501000;2416878
1011;2500080;2416878
1012;2500090;2416878
1013;2500095;2416878
1014;2410468;2416878
1015;2500097;2416878
1016;2502000;2416878
2001;2410448;2416879
2002;2410469;2416879
2003;2410470;2416879
2004;2410471;2416879
2005;2410472;2416879
2006;2410473;2416879
2007;2410475;2416879
2008;2410476;2416879
2009;2410478;2416879
2010;2410479;2416879
2011;2410482;2416879
2012;2410485;2416879
2013;2410537;2416879
2014;2410538;2416879
2015;2410539;2416879
2016;2410540;2416879
2017;2410544;2416879
2018;2410545;2416879
2019;2410616;2416879
2020;2459951;2416879
2021;2461257;2416879
2022;2500050;2416879
2023;2500060;2416879
2026;2500095;2416879
3001;2503000;2416879
3002;2503100;2416879
3003;2503200;2416879
2024;2500080;2416878
2025;2500090;2416878
2027;2410468;2416878
6001;2410474;2416883
6002;2410477;2416883
8001;2410480;2416885
8002;2410481;2416885
8003;2410483;2416885
8004;2410543;2416885
8005;2410617;2416885
8006;2410618;2416885
8007;2410619;2416885
8008;2410620;2416885
8009;2500000;2416885
8010;2500010;2416885
8011;2500020;2416885
8012;2500030;2416885
8013;2503203;2416878
