nID;sID;sName;sNote
2410448;RightProcessTemplate_AddAnyEditSelf;Додавання Шаблонів;Додавання та зміна своїх шаблонів, точково (адміністратор)
2410468;RightProcessTemplate_AddEditAny;Додавання та редагування будь-яких Шаблонів;Додавання та зміна будь-яких шаблонів, точково (адміністратор)
2410469;RightProcessTemplate_EditAny;Редагування будь-яких Шаблонів;Зміна будь-яких шаблонів, точково (адміністратор)
2410470;RightProcessDocumentInstance_AddAny;Додавання екземплярыв Документів будь-яких шаблонів;Додавання екземплярыв документів по будь-яких інших шаблонах, точково (адміністратор)
2410471;RightOfRightProcessDocumentTemplate_ManageAny;Управління правами додавання екземплярыв Документів будь-яких шаблонів;Додавання та зміна прав на створеня екземпляру документу по будь-якому шаблону, точково (адміністратор)
2410472;RightProcessDocumentInstance_EditAnyOpened;Редагування будь-якого відкритого Документу;Зміна будь-якого відкритого документу, точково (адміністратор)
2410473;RightProcessDocumentInstance_ReadAnyActive;Перегляд будь-якого активного Документу;Перегляд будь-якого активного документу(окрім видалених та архівних), точково (адміністратор)
2410474;RightProcessDocumentInstance_ReadOfUnderEmployees;Перегляд будь-якого активного Документу підлеглого;Перегляд будь-якого активного документу підлеглого, точково (керівник)
2410475;RightProcessTaskInstance_EditAnyOpened;Редагування будь-якого відкритого Завдання;Зміна будь-якого відкритого завдання, точково (адміністратор)
2410476;RightProcessTaskInstance_ReadAny;Перегляд будь-якого Завдання;Перегляд будь якого завдання, точково (адміністратор)
2410477;RightProcessTaskInstance_ReadOfUnderEmployees;Перегляд будь-якого Завдання підлеглого;Перегляд завдання підлеглого, точково (керівник)
2410478;RightEmployeeReferent_ManageAnyToAny;Управління референтностю всіх всім;Додавання та зміна референтності будь-кого - будь-якому користувачу, точково (адміністратор)
2410479;RightEmployeeReferent_ManageAnyToAnyOfUnderEmployees;Управління референтностю всіх підлеглим;Додавання та зміна референтності будь-кого - будь-якому його підлеглому користувачу, точково (адміністратор)
2410480;RightEmployeeReferent_ManageSelfToAny;Управління референтностю себе;Додавання та зміна референтності себе - будь-якому користувачу, точково (любий користувач)
2410481;RightEmployeeReferent_ManageSelfToAnyOfUnderEmployees;Управління референтностю себе підлеглим;Додавання та зміна референтності себе - будь-якому підлеглому користувачу, точково (любий користувач)
2410482;RightEmployeeAuth_ManageAny;Редагування авторизації всіх;Скинути пароль та змінити тип авторизації будь кого, точково (адміністратор)
2410483;RightEmployeeAuth_ManageSelf;Редагування авторизації своєї;Скинути пароль та змінити тип авторизації свій, точково (будь який користувач)
2410484;RightEmployees_ManageAll;Управління всіми користувачами;Вивантажувати та завантажувати всіх користувачів системи, масово-все (супер-адміністратор)
2410485;RightEmployee_ManageAny;Управління будь-яким користувачем;Додавання та зміна будь-якого користувача системи, точково (адміністратор)
2410537;RightEmployee_ManageOfUnderEmployees;Управління будь-яким користувачем-підлеглим;Додавання та зміна підлеглих користувачів системи, точково (адміністратор)
2410538;RightOfRightRole_ManageAny;Управління правом ролі;Додавання та зміна прав ролі, точково (адміністратор)
2410539;RightRoleWithoutRight_ManageAny;Управління роллю без прав;Додавання та зміна всіх асоціації ролей, до яких не прив’язані права, точково (адміністратор)
2410540;RightRoleWithRight_ManageAny;Управління роллю з правами;Додавання та зміна всіх асоціації ролей, до яких прив’язані права, точково (адміністратор)
2410541;RightEmployeesEvents_ReadAll;Перезляд всіх дій користувачів;Перегляд всіх дій користувачів, масово-все (супер-адміністратор)
2410542;RightProcessDocumentInstances_ReadAll;Експорт всіх Документів;Вивантажувати всі документи системи, масово-все (супер-адміністратор)
2410543;RightProcessDocumentInstances_ReadSelfAll;Експорт всіх своїх Документів;Вивантажувати всі документи, у яких присутній, масово-все (любий користувач)
2410544;RightProcessInstancesMetadata_ReadAll;Перезляд переліку(із метаданими/полями) всіх екземплярів документів/завдань;Перегляд переліку усіх документів, завдань, їх історії, у т.ч. видалених та архівних та у яких не є фігурантом, масово-все (адміністратор)
2410545;RightProcessInstance_ReadAny;Перегляд будь-якого екземпляру документу/завдання;Перегляд будь-якого документу, завдання, їх історії, у т.ч. видаленого та архівного та у якому не є фігурантом, точково (адміністратор)
2410615;RightProcessDocumentInstance_AddSelectedBP;Додавання екземпляру Документу обраних бізнес-процесів (шаблонів);Додавання документів обраних шаблонів/бізнес-процессів (користувацька роль)
2410616;RightEmployees_ReadAll;Експорт всіх користувачав;Вивантажувати всіх користувачів системи, масово-все (адміністратор)
